Número de Registro,Fecha de ingreso,Denominación del Objeto,Cultura,Materiales,Zona Arqueológica,País
,Día,,,,,
MB 000031,16,Figura,Guangala,Arcilla,Costa Pacífica,Ecuador
MB 000032,16,Copa,,Arcilla,Magdalena Medio,Colombia
MB 000033,16,Vasija,,Arcilla,Magdalena Medio,Colombia
MB 000034,16,Vasija,Caldas,Arcilla,Viejo Caldas,Colombia
MB 000035,16,Vasija,,Arcilla,Magdalena Medio,Colombia
MB 000036,16,Vasija,,Arcilla,Magdalena Medio,Colombia
MB 000037,16,Alcarraza,,Arcilla,,Colombia
MB 000037,16,Figura,Jamacoaque,Arcilla,Costa Pacífica,Ecuador
MB 000038,16,Figura,Jamacoaque,Arcilla,Costa Pacífica,Ecuador
MB 000039,16,Vasija,,Arcilla,Magdalena Medio,Colombia
MB 000039,16,Figura,Jamacoaque,Arcilla,Costa Pacífica,Ecuador
MB 000039,16,Bruñidor,Zenú,Piedra,Costa Caribe,Colombia
MB 000040,16,Cuenco,Tricolor,Arcilla,Zona Andina,Colombia
MB 000040,16,Figura,Jamacoaque,Arcilla,Costa Pacífica,Ecuador
MB 000041,16,Vasija,Aplicado Inciso,Arcilla,Viejo Caldas,Colombia
MB 000041,16,Vasija,Calima,Arcilla,Valle del Cauca,Colombia
MB 000042,16,Vasija,Tardío,Arcilla,Viejo Caldas,Colombia
MB 000042,16,Figura,Jamacoaque,Arcilla,Costa Pacífica,Ecuador
MB 000043,16,Vasija,Aplicado Inciso,Arcilla,Zona Andina,Colombia
MB 000043,16,Figura,Jamacoaque,Arcilla,Costa Pacífica,Ecuador
MB 000043,16,Hacha,Tairona,Piedra,Costa Caribe,Colombia
MB 000044,16,Vasija,Nariño,Arcilla,Nariño,Colombia
MB 000044,16,Figura,Jamacoaque,Arcilla,Costa Pacífica,Ecuador
MB 000044,16,Hacha,Tairona,Piedra,Costa Caribe,Colombia
MB 000045,16,Urna,Marrón Inciso,Arcilla,Zona Andina,Colombia
MB 000045,16,Figura,Jamacoaque,Arcilla,Costa Pacífica,Ecuador
MB 000045,16,Hacha,Tairona,Piedra,Costa Caribe,Colombia
MB 000046,16,Vasija,Cauca Medio,Arcilla,Zona Andina,Colombia
MB 000046,16,Figura,Jamacoaque,Arcilla,Costa Pacífica,Ecuador
MB 000046,16,Hacha,Tairona,Piedra,Costa Caribe,Colombia
MB 000047,16,Vasija,Bolo Quebrada Seca,Arcilla,Valle del Cauca,Colombia
MB 000047,16,Figura,Jamacoaque,Arcilla,Costa Pacífica,Ecuador
MB 000047,16,Hacha,Tairona,Piedra,Costa Caribe,Colombia
MB 000048,16,Vasija,Tardío,Arcilla,Zona Andina,Colombia
MB 000048,16,Figura,Jamacoaque,Arcilla,Costa Pacífica,Ecuador
MB 000048,16,Hacha,Tairona,Piedra,Costa Caribe,Colombia
MB 000049,16,Copa,Zenú,Arcilla,Costa Caribe,Colombia
MB 000049,16,Figura,Jamacoaque,Arcilla,Costa Pacífica,Ecuador
MB 000050,16,Figura,Zenú,Arcilla,Costa Caribe,Colombia
MB 000051,16,Figura,Zenú,Arcilla,Costa Caribe,Colombia
MB 000052,16,Copa,Zenú,Arcilla,Costa Caribe,Colombia
MB 000052,16,Figura,Guangala,Arcilla,Costa Pacífica,Ecuador
MB 000053,16,Copa,Zenú,Arcilla,Costa Caribe,Colombia
MB 000054,16,Copa,Zenú,Arcilla,Costa Caribe,Colombia
MB 000055,16,Copa,Zenú,Arcilla,Costa Caribe,Colombia
MB 000056,16,Tapa,Zenú,Arcilla,Costa Caribe,Colombia
MB 000056,16,Figura,Jamacoaque,Arcilla,Costa Pacífica,Ecuador
MB 000057,16,Tapa,Zenú,Arcilla,Costa Caribe,Colombia
MB 000058,16,Tapa,Zenú,Arcilla,Costa Caribe,Colombia
MB 000058,16,Figura,Jamacoaque,Arcilla,Costa Pacífica,Ecuador
MB 000058,16,Arete,Zenú,Arcilla,Costa Caribe,Colombia
MB 000059,16,Copa,Zenú,Arcilla,Costa Caribe,Colombia
MB 000060,16,Vasija,Zenú,Arcilla,Costa Caribe,Colombia
MB 000061,16,Cuenco,Tricolor,Arcilla,Zona Andina,Colombia
MB 000062,16,Cuenco,Noroccidente,Arcilla,Zona Andina,Colombia
MB 000062,16,Figura,Jamacoaque,Arcilla,Costa Pacífica,Ecuador
MB 000062,16,Clavo,Zenú,Arcilla,Costa Caribe,Colombia
MB 000063,16,Urna,Marrón Inciso,Arcilla,Zona Andina,Colombia
MB 000063,16,Figura,Jamacoaque,Arcilla,Costa Pacífica,Ecuador
MB 000064,16,Cántaro,Muisca,Arcilla,Cordillera Oriental,Colombia
MB 000065,16,Cántaro,Muisca,Arcilla,Cordillera Oriental,Colombia
MB 000066,16,Múcura,Muisca,Arcilla,Cordillera Oriental,Colombia
MB 000066,16,Figura,Cayapa,Arcilla,Costa Pacífica,Ecuador
MB 000067,16,Vasija,Muisca,Arcilla,,Colombia
MB 000067,16,Figura,Machalilla,Arcilla,,Ecuador
MB 000067,16,Falo,Zenú,Piedra,Costa Caribe,Colombia
MB 000068,16,Copa,Muisca,Arcilla,Cordillera Oriental,Colombia
MB 000068,16,Figura,,Arcilla,,
MB 000068,16,Figura,Zenú,Piedra,Costa Caribe,Colombia
MB 000069,16,Copa,Muisca,Arcilla,Cordillera Oriental,Colombia
MB 000069,16,Figura,Machalilla,Arcilla,,Ecuador
MB 000069,16,Lasca,,Piedra,Costa Caribe,Colombia
MB 000070,16,Copa,Muisca,Arcilla,Cordillera Oriental,Colombia
MB 000070,16,Figura,Machalilla,Arcilla,,Ecuador
MB 000070,16,Cortador,,Piedra,Magdalena Medio,Colombia
MB 000071,16,Copa,Muisca,Arcilla,Cordillera Oriental,Colombia
MB 000071,16,Figura,Machalilla,Arcilla,,Ecuador
MB 000071,16,Bruñidor,,Piedra,Costa Caribe,Colombia
